ascension keystone secundus  28447;
iron dart tip  820;
iron limbs  9423;
jade bolt tips  9187;
mithril dart tip  822;
mithril limbs  9427;
mutated vine  21358;
magic shieldbow (u)  70;
magic shortbow (u)  72;
magic stock  25483;
mahogany stock  9450;
maple shieldbow (u)  62;
maple shortbow (u)  64;
maple stock  9448;
mith grapple  9418;
mith grapple tip  9416;
mithril arrowheads  42;
mithril bolts (unf)  9379;
mithril c'bow (u)  9461;
oak shieldbow (u)  56;
oak shortbow (u)  54;
oak stock  9442;
ogre arrow shaft  2864;
onyx bolt tips  9194;
opal bolt tips  45;
pearl bolt tips  46;
ruby bolt tips  9191;
rune arrowheads  44;
rune dart tip  824;
runite bolts (unf)  9381;
runite c'bow (u)  9465;
runite limbs  9431;
sapphire bolt tips  9189;
shieldbow (u)  48;
shortbow (u)  50;
silver bolts (unf)  9382;
steel arrowheads  41;
steel bolts (unf)  9378;
steel c'bow (u)  9459;
steel dart tip  821;
steel limbs  9425;
teak stock  9446;
topaz bolt tips  9188;
unfinished broad bolts  13279;
unstrung comp bow  4825;
willow shieldbow (u)  58;
willow shortbow (u)  60;
willow stock  9444;
wolf bone arrowheads  2861;
wooden stock  9440;
yew shieldbow (u)  66;
yew shortbow (u)  68;
yew stock  9452;
axeman's folly (m4)  5905;
asgarnian ale (m2)  5861;
asgarnian ale (m3)  5863;
asgarnian ale (m4)  5865;
axeman's folly  5751;
axeman's folly (1)  5819;
axeman's folly (2)  5821;
axeman's folly (3)  5823;
axeman's folly (4)  5825;
axeman's folly (m)  5753;
axeman's folly (m1)  5899;
axeman's folly (m2)  5901;
axeman's folly (m3)  5903;
admiral pie  7198;
anchovies  319;
anchovy pizza  2297;
apple pie  2323;
apples (5)  5386;
asgarnian ale  1905;
asgarnian ale (1)  5779;
asgarnian ale (2)  5781;
asgarnian ale (3)  5783;
asgarnian ale (4)  5785;
asgarnian ale (m)  5739;
asgarnian ale (m1)  5859;
baguette  6961;
baked potato  6701;
banana  1963;
bananas (5)  5416;
bandit's brew  4627;
bass  365;
beer  3803;
beer  1917;
blurberry special  2064;
brandy  2021;
bread  2309;
button mushroom  13563;
cooked sweetcorn  5988;
cooked undead chicken  4291;
cooked undead meat  4293;
crayfish  13433;
cup of tea  1978;
curry  2011;
cider (m4)  5929;
cod  339;
cooked chicken  2140;
cooked chompy  2878;
cooked crab meat  7521;
cooked eeligator  35199;
cooked jubbly  7568;
cooked karambwan  3144;
cooked meat  2142;
cooked oomlie wrap  2343;
cooked rabbit  3228;
cooked slimy eel  3381;
chocolate slice  1901;
chopped onion  1871;
chopped tomato  1869;
chopped tuna  7086;
cider  5763;
cider (1)  5843;
cider (2)  5845;
cider (3)  5847;
cider (4)  5849;
cider (m1)  5923;
cider (m2)  5925;
cider (m3)  5927;
chef's delight (m)  5757;
chef's delight (m1)  5907;
chef's delight (m2)  5909;
chef's delight (m3)  5911;
chef's delight (m4)  5913;
chilli con carne  7062;
chilli potato  7054;
choc saturday  2074;
choc-ice  6794;
chocchip crunchies  2209;
chocolate bomb  2185;
chocolate cake  1897;
cabbage  1965;
cabbages (10)  5478;
cake  1891;
cave eel  5003;
cavefish  15266;
cheese  1985;
cheese+tom batta  2259;
chef's delight  5755;
chef's delight (1)  5827;
chef's delight (2)  5829;
chef's delight (3)  5831;
chef's delight (4)  5833;
dwarven stout  1913;
dwarven stout (1)  5771;
dwarven stout (2)  5773;
dwarven stout (3)  5775;
dwarven stout (4)  5777;
dwarven stout (m)  5747;
dwarven stout (m1)  5851;
dwarven stout (m2)  5853;
dwarven stout (m3)  5855;
dwarven stout (m4)  5857;
doughnut  14665;
dragon bitter  1911;
dragon bitter (1)  5803;
dragon bitter (2)  5805;
dragon bitter (3)  5807;
dragon bitter (4)  5809;
dragon bitter (m)  5745;
dragon bitter (m1)  5883;
dragon bitter (m2)  5885;
dragon bitter (m3)  5887;
dragon bitter (m4)  5889;
drunk dragon  2092;
easter egg  1961;
edible seaweed  403;
egg and tomato  7064;
egg potato  7056;
fat snail meat  3373;
field ration  7934;
fish pie  7188;
fried mushrooms  7082;
fried onions  7084;
fruit batta  2277;
fruit blast  2084;
greenman's ale (m)  5743;
greenman's ale (m1)  5867;
greenman's ale (m2)  5869;
greenman's ale (m3)  5871;
greenman's ale (m4)  5873;
grog  1915;
garden pie  7178;
giant frog legs  4517;
gin  2019;
gorajian mushroom  22446;
great gunkan  34736;
great maki  34734;
great white shark  34729;
greenman's ale  1909;
greenman's ale (1)  5787;
greenman's ale (2)  5789;
greenman's ale (3)  5791;
greenman's ale (4)  5793;
half a fish pie  7190;
half a garden pie  7180;
half a meat pie  2331;
half a redberry pie  2333;
half a summer pie  7220;
half a wild pie  7210;
half an admiral pie  7200;
half an apple pie  2335;
half full wine jug  1989;
herring  347;
jug of wine  1993;
kebab  1971;
keg of beer  3801;
lean snail meat  3371;
lobster  379;
moonlight mead (2)  5813;
moonlight mead (3)  5815;
moonlight mead (4)  5817;
moonlight mead (m)  5749;
mud pie  7170;
mushroom & onion  7066;
mushroom potato  7058;
mind bomb (1)  5795;
mind bomb (2)  5797;
mind bomb (3)  5799;
mind bomb (4)  5801;
mind bomb (m1)  5875;
mind bomb (m2)  5877;
mind bomb (m3)  5879;
mind bomb (m4)  5881;
mint cake  9475;
monkfish  7946;
moonlight mead  2955;
moonlight mead (1)  5811;
m'light mead (m1)  5891;
m'light mead (m2)  5893;
m'light mead (m3)  5895;
m'light mead (m4)  5897;
mackerel  355;
manta ray  391;
mature cider  5765;
mature pigswill  28661;
mature wmb  5741;
meat pie  2327;
meat pizza  2293;
minced meat  7070;
onion  1957;
onion & tomato  1875;
onions (10)  5458;
oranges (5)  5396;
premade veg batta  2227;
premade w'm batta  2219;
premade w'm crun'  2237;
premade wiz blz'd  2040;
premade worm hole  2233;
pumpkin  1959;
purple sweets  10476;
premade choc bomb  2229;
premade choc s'dy  2030;
premade dr' dragon  2032;
premade fr' blast  2034;
premade fr't batta  2225;
premade p' punch  2036;
premade s'y crunch  2241;
premade sgg  2038;
premade t'd batta  2221;
premade t'd crunch  2243;
premade ttl  2231;
premade veg ball  2235;
portent of restoration ix  29255;
portent of restoration v  29247;
portent of restoration vi  29249;
portent of restoration vii  29251;
portent of restoration viii  29253;
portent of restoration x  29257;
potato with butter  6703;
potato with cheese  6705;
potatoes (10)  5438;
premade blurb' sp.  2028;
premade c+t batta  2223;
premade ch' crunch  2239;
pineapple punch  2048;
pitta bread  1865;
plain pizza  2289;
poorly-cooked beast meat  23062;
poorly-cooked bird meat  23060;
portent of degradation i  31313;
portent of degradation ii  31315;
portent of degradation iii  31317;
portent of restoration i  29239;
portent of restoration ii  29241;
portent of restoration iii  29243;
portent of restoration iv  29245;
papaya fruit  5972;
pigswill  28659;
pigswill (1)  28667;
pigswill (2)  28669;
pigswill (3)  28671;
pigswill (4)  28673;
pigswill (m1)  28675;
pigswill (m2)  28677;
pigswill (m3)  28679;
pigswill (m4)  28681;
pike  351;
pineapple pizza  2301;
rabbit sandwich  23065;
rainbow fish  10136;
ranger's aid  15119;
ranger's aid (m)  15121;
raw potato  1942;
redberry pie  2325;
roast beast meat  9988;
roast bird meat  9980;
roast rabbit  7223;
rocktail  15272;
rocktail soup  26313;
roll  6963;
spider on shaft  6299;
spider on stick  6297;
square sandwich  6965;
stew  2003;
strange fruit  464;
strawberries (5)  5406;
strawberry  5504;
summer pie  7218;
super kebab  4608;
swordfish  373;
slayer's respite  5759;
slayer's respite (1)  5835;
slayer's respite (2)  5837;
slayer's respite (3)  5839;
slayer's respite (4)  5841;
slayer's respite (m)  5761;
slice of cake  1895;
sliced banana  3162;
spicy crunchies  2213;
spicy minced meat  9996;
spicy sauce  7072;
spicy tomato  9994;
salmon  329;
sardine  325;
scrambled egg  7078;
sea turtle  397;
shark  385;
short green guy  2080;
shrimps  315;
skewered kebab  15123;
slayer respite (m1)  5915;
slayer respite (m2)  5917;
slayer respite (m3)  5919;
slayer respite (m4)  5921;
tangled toads' legs  2187;
thin snail meat  3369;
toad batta  2255;
toad crunchies  2217;
tomato  1982;
tomatoes (5)  5968;
triangle sandwich  6962;
trout  333;
tuna  361;
tuna and corn  7068;
tuna potato  7060;
ugthanki kebab  1883;
ugthanki kebab  1885;
ugthanki meat  1861;
veg ball  2195;
vegetable batta  2281;
vodka  2015;
watermelon  5982;
watermelon slice  5984;
whisky  2017;
wild pie  7208;
wizard blizzard  2054;
wizard's mind bomb  1907;
worm batta  2253;
worm crunchies  2205;
worm hole  2191;
ashes  592;
avantoe potion (unf)  103;
blue dragon scale  243;
bowl of hot water  4456;
crystal flask  32843;
cup of hot water  4460;
cup of water  4458;
clean marrentill  251;
clean ranarr  257;
clean snapdragon  3000;
clean spirit weed  12172;
clean tarromin  253;
clean toadflax  2998;
clean torstol  269;
clean wergali  14854;
cockatrice egg  12109;
coconut  5976;
coconut milk  5935;
crushed nest  6693;
cactus spine  6016;
cadantine potion (unf)  107;
caviar  11326;
clean avantoe  261;
clean cadantine  265;
clean dwarf weed  267;
clean fellstalk  21624;
clean guam  249;
clean harralander  255;
clean irit  259;
clean kwuarm  263;
clean lantadyme  2481;
desert goat horn  9735;
dragon scale dust  241;
dwarf weed potion (unf)  109;
eye of newt  221;
fellstalk potion (unf)  21628;
grimy snapdragon  3051;
grimy spirit weed  12174;
grimy tarromin  203;
grimy toadflax  3049;
grimy torstol  219;
grimy wergali  14836;
guam potion (unf)  91;
guthix balance (unf)  7652;
guthix balance (unf)  7656;
guthix balance (unf)  7658;
guthix balance (unf)  7654;
goat horn dust  9736;
grimy avantoe  211;
grimy cadantine  215;
grimy dwarf weed  217;
grimy fellstalk  21626;
grimy guam  199;
grimy harralander  205;
grimy irit  209;
grimy kwuarm  213;
grimy lantadyme  2485;
grimy marrentill  201;
grimy ranarr  207;
harmony moss  32947;
harralander potion (unf)  97;
irit potion (unf)  101;
jangerberries  247;
juju vial  19996;
juju vial of water  19994;
kebbit teeth dust  10111;
kwuarm potion (unf)  105;
lantadyme potion (unf)  2483;
leaping salmon  11330;
leaping sturgeon  11332;
leaping trout  11328;
limpwurt root  225;
marrentill potion (unf)  93;
mixture - step 1 (1)  10915;
mixture - step 1 (2)  10913;
mixture - step 1 (3)  10911;
mixture - step 1 (4)  10909;
mixture - step 2 (1)  10923;
mixture - step 2 (2)  10921;
mixture - step 2 (3)  10919;
mixture - step 2 (4)  10917;
morchella mushroom  21622;
mort myre fungus  2970;
nail beast nails  10937;
poison ivy berries  6018;
potato cactus  3138;
potion flask  23191;
ranarr potion (unf)  99;
red spiders' eggs  223;
roe  11324;
rogue's purse potion (unf)  4840;
silver dust  7650;
snapdragon potion (unf)  3004;
snape grass  231;
spirit weed potion (unf)  12181;
swamp tar  1939;
swamp toad  2150;
tarromin potion (unf)  95;
toad's legs  2152;
toadflax potion (unf)  3002;
torstol potion (unf)  111;
unicorn horn  237;
unicorn horn dust  235;
vampyre dust  3325;
vial  229;
vial of water  227;
wergali potion (unf)  14856;
white berries  239;
wine of guthix  28253;
wine of saradomin  28256;
wine of zamorak  245;
anchovy oil  11264;
anchovy paste  11266;
bird snare  10006;
black bead  1474;
box trap  10008;
butterfly jar  10012;
butterfly net  10010;
desert camo legs  10063;
desert camo top  10061;
graahk headdress  10051;
graahk legs  10047;
graahk top  10049;
hunter kit  11159;
imp repellent  11262;
impling jar  11260;
jungle camo legs  10059;
jungle camo top  10057;
kyatt hat  10039;
kyatt legs  10035;
kyatt top  10037;
larupia hat  10045;
larupia legs  10041;
larupia top  10043;
magic box  10025;
marasamaw plant  19965;
noose wand  10150;
polar camo legs  10067;
polar camo top  10065;
rabbit snare  10031;
red bead  1470;
teasing stick  10029;
white bead  1476;
wood camo legs  10055;
wood camo top  10053;
yellow bead  1472;
baby impling jar  11238;
black salamander  10148;
black warlock  10014;
blue feather  10089;
common kebbit fur  10121;
crystal impling jar  32272;
dark kebbit fur  10115;
dashing kebbit fur  10127;
desert devil fur  10123;
diseased kebbit fur  12567;
divine impling jar  31335;
dragon impling jar  11256;
earth impling jar  11244;
eclectic impling jar  11248;
essence impling jar  11246;
feldip weasel fur  10119;
gourmet impling jar  11242;
graahk fur  10099;
grenwall spikes  12539;
kebbit claws  10113;
kebbit spike  10105;
kebbit teeth  10109;
kingly impling jar  15517;
kyatt fur  10103;
larupia fur  10095;
long kebbit spike  10107;
magpie impling jar  11252;
nature impling jar  11250;
ninja impling jar  11254;
orange feather  10091;
orange salamander  10146;
pirate impling jar  13337;
polar kebbit fur  10117;
rabbit foot  10134;
raw pawya meat  12535;
red feather  10088;
red salamander  10147;
ruby harvest  10020;
sapphire glacialis  10018;
snowy knight  10016;
spirit impling jar  15513;
spotted kebbit fur  10125;
stripy feather  10087;
swamp lizard  10149;
tatty graahk fur  10097;
tatty kyatt fur  10101;
tatty larupia fur  10093;
wimpy feather  11525;
yellow feather  10090;
young impling jar  11240;
zombie impling jar  15515;
amulet of ranging  15126;
amulet of souls  31875;
amulet of strength  1725;
archers' ring  6733;
amulet of accuracy  1478;
amulet of defence  1729;
amulet of farming (1)  12608;
amulet of fury  6585;
amulet of fury (t)  33502;
amulet of glory  1704;
amulet of glory (4)  1712;
amulet of glory (t)  10362;
amulet of glory (t4)  10354;
amulet of magic  1727;
amulet of magic (t)  10366;
amulet of power  1731;
berserker necklace  11128;
berserker ring  6737;
binding necklace  5521;
bracelet of clay  11074;
brass necklace  1009;
castle wars brace (1)  11083;
castle wars brace (3)  11079;
clay ring  20053;
combat bracelet  11126;
combat bracelet (4)  11118;
deathtouch bracelet  31878;
diamond amulet  1700;
diamond amulet  1681;
diamond bracelet  11092;
diamond necklace  1662;
diamond ring  1643;
dragon bracelet  11115;
dragon necklace  1664;
dragonstone amulet  1702;
dragonstone amulet  1683;
dragonstone ring  1645;
emerald amulet  1677;
emerald amulet  1696;
emerald bracelet  11076;
emerald necklace  1658;
emerald ring  1639;
forinthry brace (1)  11103;
forinthry brace (5)  11095;
games necklace (1)  3867;
games necklace (8)  3853;
gold amulet  1692;
gold amulet  1673;
gold bracelet  11069;
gold necklace  1654;
gold ring  1635;
holy symbol  1718;
hydrix amulet  31861;
hydrix amulet  31863;
hydrix bracelet  31865;
hydrix necklace  31859;
hydrix ring  31857;
inoculation brace  11088;
leviathan ring  30576;
onyx amulet  6581;
onyx bracelet  11130;
onyx necklace  6577;
onyx ring  6575;
phoenix necklace  11090;
pre-nature amulet  6041;
ruby amulet  1679;
ruby bracelet  11085;
ruby necklace  1660;
ruby ring  1641;
reaper necklace  31872;
regen bracelet  11133;
ring of death  31869;
ring of duelling (1)  2566;
ring of duelling (8)  2552;
ring of forging  2568;
ring of life  2570;
ring of recoil  2550;
ring of stone  6583;
ring of wealth  2572;
ring of wealth (4)  20659;
ruby amulet  1698;
strung rabbit foot  10132;
sapphire amulet  1694;
sapphire amulet  1675;
sapphire bracelet  11072;
sapphire necklace  1656;
sapphire ring  1637;
saradomin's hiss  25031;
saradomin's murmur  25034;
saradomin's whisper  25028;
seers' ring  6731;
skills necklace  11113;
skills necklace (4)  11105;
strength amulet (t)  10364;
unblessed symbol  1716;
unholy symbol  1724;
unpowered symbol  1722;
unstrung emblem  1720;
unstrung symbol  1714;
warrior ring  6735;
ahrim's hood  4708;
ahrim's hood (broken)  4860;
ahrim's robe skirt  4714;
ahrim's robe skirt (broken)  4878;
ahrim's robe top  4712;
ahrim's robe top (broken)  4872;
body boots  20452;
body gloves  20462;
body helmet  18693;
body shield  18691;
boots of subjugation  25004;
barrows - ahrim's set  11846;
battle hood 0  12871;
battle robe bottom 0  12885;
battle robe top 0  12878;
batwing boots  25833;
batwing gloves  25829;
batwing hood  25825;
batwing legs  25831;
batwing shield  25802;
batwing torso  25827;
black robe top  581;
body body  18695;
cosmic helmet  20440;
cosmic shield  20436;
crystal body  35404;
crystal helm  35400;
crystal legs  35408;
crystal ward  32237;
celestial handwraps  31189;
chaos body  20446;
chaos boots  20456;
chaos gloves  20466;
chaos helmet  20442;
chaos shield  20438;
corrupt zuriel's hood  13938;
corrupt zuriel's robe bottom  13935;
corrupt zuriel's robe top  13932;
cosmic body  20444;
cosmic boots  20454;
cosmic gloves  20464;
dagon'hai hat  14499;
dagon'hai robe bottom  14501;
dagon'hai robe top  14497;
dagon'hai robes set  14525;
dark mystic robes set  11962;
dragon ward  31373;
druidic mage bottom 0  12906;
druidic mage hood 0  12892;
druidic mage top 0  12899;
elemental body  18699;
elemental boots  20448;
elemental gloves  20458;
elemental helmet  9729;
elemental shield  2890;
enchanted hat  7400;
enchanted robe  7398;
enchanted top  7399;
farseer helm  3755;
fungal leggings  22462;
fungal poncho  22466;
fungal visor  22458;
ganodermic leggings  22486;
ganodermic poncho  22490;
ganodermic visor  22482;
garb of subjugation  24995;
gloves of subjugation  25007;
gown of subjugation  24998;
grifolic gloves  25879;
grifolic leggings  22474;
grifolic poncho  22478;
grifolic visor  22470;
hailfire boots  34984;
hexcrest  15488;
hood of subjugation  24992;
imphide boots  25853;
imphide gloves  25851;
imphide hood  25845;
imphide robe bottom  25849;
imphide robe top  25847;
imphide shield  25855;
infinity boots  6920;
infinity bottoms  6924;
infinity gloves  6922;
infinity hat  6918;
infinity robes set  11874;
infinity top  6916;
light mystic robes set  11960;
mystic robe top  4111;
mystic robes set  11872;
mystic boots  4117;
mystic gloves  4105;
mystic gloves  4115;
mystic gloves  4095;
mystic hat  4099;
mystic hat  4109;
mystic hat  4089;
mystic robe bottom  4113;
mystic robe bottom  4103;
mystic robe bottom  4093;
mystic robe top  4101;
mystic robe top  4091;
mages' book  6889;
merciless kiteshield  30022;
mind body  18697;
mind boots  20450;
mind gloves  20460;
mind helmet  9733;
mind shield  9731;
mycelium leggings web  22454;
mycelium poncho web  22456;
mycelium visor web  22452;
mystic boots  4107;
mystic boots  4097;
ragefire gland  34976;
splitbark armour set  11876;
splitbark body  3387;
splitbark boots  3393;
splitbark gauntlets  3391;
splitbark helm  3385;
splitbark legs  3389;
splitbark shield  25804;
static gloves  27481;
skeletal armour set  11946;
skeletal boots  6147;
skeletal bottoms  6141;
skeletal gloves  6153;
skeletal helm  6137;
skeletal top  6139;
spellstorm drape  23052;
spider silk boots  25841;
spider silk gloves  25843;
spider silk hood  25835;
spider silk robe bottom  25839;
spider silk robe top  25837;
tectonic mask  28608;
tectonic robe bottom  28614;
tectonic robe top  28611;
third-age amulet  10344;
third-age mage hat  10342;
third-age robe  10340;
third-age robe top  10338;
virtus boots  25066;
virtus gloves  25062;
virtus mask  20159;
virtus robe legs  20167;
virtus robe top  20163;
ward of subjugation  25001;
wizard boots  2579;
wizard gloves  25873;
wizard hat  579;
wizard hat  1017;
wizard hat (g)  7394;
wizard hat (t)  7396;
wizard robe skirt (g)  7386;
wizard robe skirt (t)  7388;
wizard robe top  577;
wizard robe top (g)  7390;
wizard robe top (t)  7392;
zamorak robe  1033;
zamorak robe  1035;
zuriel's hood  13864;
zuriel's robe bottom  13861;
zuriel's robe top  13858;
abyssal orb  30828;
abyssal wand  30825;
ahrim's book of magic  25672;
ahrim's book of magic (broken)  36808;
ahrim's staff  4710;
ahrim's staff (broken)  4866;
ahrim's wand  25652;
ahrim's wand (broken)  36811;
air battlestaff  1397;
ancient staff  4675;
apprentice wand  6910;
bat book  25660;
bat staff  19327;
bat wand  25648;
battlestaff  1391;
beginner wand  6908;
cat staff  19331;
corrupt zuriel's staff  13941;
crystal orb  32216;
crystal staff  32210;
crystal wand  32213;
dragon battlestaff  29540;
dragon staff  19323;
earth battlestaff  1399;
fire battlestaff  1393;
grifolic orb  25666;
grifolic wand  25638;
guthix crozier  10442;
imp horn wand  25642;
imphide book  25662;
lava battlestaff  3053;
magic staff  1389;
master wand  6914;
mud battlestaff  6562;
mystic air staff  1405;
mystic earth staff  1407;
mystic fire staff  1401;
mystic lava staff  3054;
mystic mud staff  6563;
mystic orb  25668;
mystic steam staff  11738;
mystic wand  25644;
mystic water staff  1403;
noxious staff  31729;
penguin staff  19325;
polypore staff  22494;
polypore stick  22498;
staff of light  15486;
staff of water  1383;
steam battlestaff  11736;
saradomin crozier  10440;
seismic singularity  28621;
seismic wand  28617;
slayer's staff  4170;
spider orb  25658;
spider wand  25650;
splitbark orb  25670;
splitbark wand  25640;
staff  1379;
staff of air  1381;
staff of earth  1385;
staff of fire  1387;
teacher wand  6912;
toktz-mej-tal  6526;
virtus book  25664;
virtus wand  25654;
wand of treachery  27641;
water battlestaff  1395;
white magic staff  6603;
wizard wand  25646;
wizard's book  25656;
wolf staff  19329;
zamorak crozier  10444;
zuriel's staff  13867;
adamant sq shield  1183;
anti-dragon shield  1540;
adamant plateskirt (h1)  19177;
adamant plateskirt (h2)  19198;
adamant plateskirt (h3)  19219;
adamant plateskirt (h4)  19240;
adamant plateskirt (h5)  19261;
adamant plateskirt (t)  3474;
adamant shield (h1)  7334;
adamant shield (h2)  7340;
adamant shield (h3)  7346;
adamant shield (h4)  7352;
adamant shield (h5)  7358;
adamant spikeshield 0  12913;
adamant platebody (h5)  19257;
adamant platebody (t)  2599;
adamant platelegs  1073;
adamant platelegs (g)  2609;
adamant platelegs (h1)  19175;
adamant platelegs (h2)  19196;
adamant platelegs (h3)  19217;
adamant platelegs (h4)  19238;
adamant platelegs (h5)  19259;
adamant platelegs (t)  2601;
adamant plateskirt  1091;
adamant plateskirt (g)  3475;
adamant helm (h3)  10300;
adamant helm (h4)  10302;
adamant helm (h5)  10304;
adamant kiteshield  1199;
adamant kiteshield (g)  2611;
adamant kiteshield (t)  2603;
adamant platebody  1123;
adamant platebody (g)  2607;
adamant platebody (h1)  19173;
adamant platebody (h2)  19194;
adamant platebody (h3)  19215;
adamant platebody (h4)  19236;
adamant armour set (lg)  11834;
adamant armour set (sk)  11836;
adamant berserker shield 0  12920;
adamant boots  4129;
adamant chainbody  1111;
adamant full helm  1161;
adamant full helm (g)  2613;
adamant full helm (t)  2605;
adamant gauntlets  13000;
adamant helm  1145;
adamant helm (h1)  10296;
adamant helm (h2)  10298;
bruise blue snelm  3333;
bruise blue snelm  3343;
bronze helm  1139;
bronze kiteshield  1189;
bronze platebody  1117;
bronze platelegs  1075;
bronze plateskirt  1087;
bronze sq shield  1173;
broodoo shield  6257;
broodoo shield  6279;
broodoo shield  6235;
broodoo shield (10)  6215;
broodoo shield (10)  6259;
broodoo shield (10)  6237;
black shield (h5)  7356;
black sq shield  1179;
bladestorm drape  23048;
blood'n'tar snelm  3339;
blood'n'tar snelm  3329;
broken bark snelm  3335;
bronze armour set (lg)  11814;
bronze armour set (sk)  11816;
bronze boots  4119;
bronze chainbody  1103;
bronze full helm  1155;
bronze gauntlets  12985;
black plateskirt  1089;
black plateskirt (g)  3473;
black plateskirt (h1)  19171;
black plateskirt (h2)  19192;
black plateskirt (h3)  19213;
black plateskirt (h4)  19234;
black plateskirt (h5)  19255;
black plateskirt (t)  3472;
black shield (h1)  7332;
black shield (h2)  7338;
black shield (h3)  7344;
black shield (h4)  7350;
black platebody (h3)  19209;
black platebody (h4)  19230;
black platebody (h5)  19251;
black platebody (t)  2583;
black platelegs  1077;
black platelegs (g)  2593;
black platelegs (h1)  19169;
black platelegs (h2)  19190;
black platelegs (h3)  19211;
black platelegs (h4)  19232;
black platelegs (h5)  19253;
black platelegs (t)  2585;
black helm (h3)  10310;
black helm (h4)  10312;
black helm (h5)  10314;
black kiteshield  1195;
black kiteshield (g)  2597;
black kiteshield (t)  2589;
black mask  8921;
black mask (10)  8901;
black platebody  1125;
black platebody (g)  2591;
black platebody (h1)  19167;
black platebody (h2)  19188;
backstab cape  33520;
black armour set (lg)  11826;
black armour set (sk)  11828;
black boots  4125;
black chainbody  1107;
black full helm  1165;
black full helm (g)  2595;
black full helm (t)  2587;
black gauntlets  12994;
black helm  1151;
black helm (h1)  10306;
black helm (h2)  10308;
combat hood 0  12969;
combat robe bottom 0  12983;
combat robe top 0  12976;
corrupt statius's full helm  13920;
corrupt statius's platebody  13908;
corrupt statius's platelegs  13914;
corrupt vesta's chainbody  13911;
corrupt vesta's plateskirt  13917;
explosive barrel  33516;
fremennik round shield  10826;
iron armour set (lg)  11818;
iron armour set (sk)  11820;
iron boots  4121;
iron chainbody  1101;
iron full helm  1153;
iron gauntlets  12988;
iron helm  1137;
iron kiteshield  1191;
iron platebody  1115;
iron platelegs  1067;
iron plateskirt  1081;
iron sq shield  1175;
leather boots  1061;
leather gloves  1059;
mithril sq shield  1181;
myre snelm  3327;
myre snelm  3337;
mirror shield  4156;
mithril armour set (lg)  11830;
mithril armour set (sk)  11832;
mithril boots  4127;
mithril chainbody  1109;
mithril full helm  1159;
mithril gauntlets  12997;
mithril helm  1143;
mithril kiteshield  1197;
mithril platebody  1121;
mithril platelegs  1071;
mithril plateskirt  1085;
ochre snelm  3341;
ochre snelm  3331;
rock climbing boots  3105;
steel plateskirt  1083;
steel sq shield  1177;
sack of effigies  33518;
spiked helmet  13105;
steel armour set (lg)  11822;
steel armour set (sk)  11824;
steel boots  4123;
steel chainbody  1105;
steel full helm  1157;
steel gauntlets  12991;
steel helm  1141;
steel kiteshield  1193;
steel platebody  1119;
steel platelegs  1069;
tribal mask  6335;
tribal mask  6339;
tribal mask  6337;
tyras helm  9629;
white boots  6619;
white chainbody  6615;
white full helm  6623;
white gloves  6629;
white helm  6621;
white kiteshield  6633;
white platebody  6617;
white platelegs  6625;
white plateskirt  6627;
white sq shield  6631;
wooden shield  1171;
ancient full helm  19407;
ancient kiteshield  19410;
ancient platebody  19398;
ancient platelegs  19401;
ancient plateskirt  19404;
armadyl full helm  19422;
armadyl kiteshield  19425;
armadyl platebody  19413;
armadyl platelegs  19416;
armadyl plateskirt  19419;
bandos full helm  19437;
bandos kiteshield  19440;
bandos platebody  19428;
bandos platelegs  19431;
bandos plateskirt  19434;
berserker helm  3751;
corrupt dragon chainbody  13958;
corrupt dragon helm  13961;
corrupt dragon platelegs  13970;
corrupt dragon plateskirt  13967;
corrupt dragon sq shield  13964;
crystal shield  32240;
dragon plateskirt  4585;
dragon sq shield  1187;
dwarven helmet  11200;
dragon boots  11732;
dragon chain armour set (lg)  11842;
dragon chain armour set (sk)  11844;
dragon chainbody  3140;
dragon full helm  11335;
dragon gauntlets  13006;
dragon helm  1149;
dragon kiteshield  24365;
dragon plate armour set (lg)  14529;
dragon plate armour set (sk)  14531;
dragon platebody  14479;
dragon platelegs  4087;
elite black armour set  14527;
elite black full helm  14494;
elite black platebody  14492;
elite black platelegs  14490;
guthix kiteshield  2675;
guthix platebody  2669;
guthix platelegs  2671;
guthix plateskirt  3480;
gilded full helm  3486;
gilded kiteshield  3488;
gilded platebody  3481;
gilded platelegs  3483;
gilded plateskirt  3485;
granite body  10564;
granite helm  10589;
granite legs  6809;
granite shield  3122;
gud raider chainbody  34830;
gud raider shield  34832;
guthix full helm  2673;
helm of neitiznot  10828;
obsidian cape  6568;
pernix armour set  30905;
rune plateskirt (h3)  19227;
rune plateskirt (h4)  19248;
rune plateskirt (h5)  19269;
rune plateskirt (t)  3477;
rune shield (h1)  7336;
rune shield (h2)  7342;
rune shield (h3)  7348;
rune shield (h4)  7354;
rune shield (h5)  7360;
rune spikeshield 0  12927;
rune sq shield  1185;
rune platelegs  1079;
rune platelegs (g)  2617;
rune platelegs (h1)  19182;
rune platelegs (h2)  19203;
rune platelegs (h3)  19224;
rune platelegs (h4)  19245;
rune platelegs (h5)  19266;
rune platelegs (t)  2625;
rune plateskirt  1093;
rune plateskirt (g)  3476;
rune plateskirt (h1)  19185;
rune plateskirt (h2)  19206;
rune helm (h5)  10294;
rune kiteshield  1201;
rune kiteshield (g)  2621;
rune kiteshield (t)  2629;
rune platebody  1127;
rune platebody (g)  2615;
rune platebody (h1)  19179;
rune platebody (h2)  19200;
rune platebody (h3)  19221;
